player_name,position,minutes,xg_per90,xa_per90,key_passes_per90,passes_into_penalty_area_per90,progressive_passes_per90,progressive_carries_per90,dribbles_completed_per90
Jugador_39,MC,2007,0.3,0.06,1.02,0.85,4.65,4.97,1.47
Jugador_40,MOC,1995,0.41,0.11,1.45,1.18,3.55,0.61,0.75
Jugador_41,EI,2033,0.39,0.16,1.32,2.21,1.12,1.95,0.4
Jugador_42,MC,1739,0.18,0.29,1.1,0.83,3.01,1.56,1.26
Jugador_43,EI,2594,0.28,0.02,1.9,0.35,6.93,1.8,0.31
Jugador_44,MOC,1135,0.25,0.59,2.11,1.89,3.12,1.86,0.62
Jugador_48,DC,1066,0.55,0.21,1.91,0.59,4.17,2.66,0.77
Jugador_50,EI,2627,0.3,0.25,2.32,1.78,2.04,1.81,0.38
Jugador_52,EI,2230,0.36,0.23,2.12,1.64,1.59,3.42,1.6
Jugador_53,EI,2491,0.52,0.21,1.59,1.43,4.76,0.63,0.85
Jugador_54,DC,908,0.16,0.09,1.27,1.49,0.77,0.53,1.51
Jugador_55,ED,1447,0.08,0.21,1.56,0.96,5.06,3.54,1.15
Jugador_57,EI,2094,0.07,0.23,0.33,0.28,5.64,0.85,0.9
Jugador_58,MOC,959,0.08,0.52,1.33,0.92,3.76,3.55,0.81
Jugador_59,EI,2255,0.12,0.09,1.71,1.78,6.38,2.67,0.96
Jugador_60,MOC,2750,0.37,0.44,1.15,0.74,7.46,2.75,1.08
Jugador_61,MOC,1669,0.22,0.25,1.38,0.81,3.52,3.31,1.29
Jugador_62,EI,2286,0.26,0.0,1.41,1.52,3.32,1.19,1.25
Jugador_63,DC,1834,0.36,0.0,2.31,1.4,4.22,0.87,0.0
Jugador_65,MOC,2034,0.37,0.05,2.31,0.62,3.06,1.06,0.25
Jugador_66,EI,2143,0.51,0.22,0.0,2.48,3.19,1.28,0.86
Jugador_68,MOC,2259,0.54,0.46,2.28,1.28,5.16,4.58,1.49
Jugador_69,EI,1963,0.46,0.31,2.04,1.12,3.28,2.99,0.98
Jugador_70,EI,2685,0.19,0.26,0.29,0.61,0.32,3.47,1.13
Jugador_71,MC,940,1.56,0.13,2.11,1.01,1.68,2.7,1.4
Jugador_72,DC,2102,0.33,0.54,1.47,1.21,4.76,1.9,1.61
Jugador_73,DC,2269,0.23,0.0,0.0,0.88,0.82,3.13,0.94
Jugador_74,MOC,2498,0.12,0.25,2.28,1.67,4.44,0.94,1.05
Jugador_75,DC,1738,0.25,1.09,2.37,1.12,2.4,1.4,1.01
Jugador_76,MOC,1934,0.06,0.16,0.36,0.53,4.14,3.23,0.73
Jugador_78,EI,2087,0.34,0.59,2.33,1.5,4.18,2.31,0.0
Jugador_79,EI,2491,0.27,0.04,2.24,0.46,3.41,2.36,0.46
Jugador_80,EI,2693,0.27,0.07,2.0,1.36,3.36,1.97,0.11
Jugador_81,DC,923,0.16,0.26,0.0,1.42,2.92,0.55,1.63
Jugador_82,MC,1316,0.07,0.17,1.94,0.7,4.73,1.87,1.09
Jugador_83,DC,1180,0.05,0.29,1.37,1.65,5.21,1.68,0.94
Jugador_84,DC,2349,0.27,0.05,2.1,0.34,2.17,2.66,0.64
Jugador_85,MC,1627,0.19,0.08,1.65,1.35,3.92,2.61,1.01
Jugador_86,MC,2601,0.35,0.39,1.49,1.18,4.29,2.88,0.58
Jugador_88,MC,1483,0.11,0.09,1.4,0.61,4.25,3.02,1.12
Jugador_89,EI,2356,0.1,0.03,1.49,0.73,3.4,0.94,0.57
Jugador_90,ED,1982,0.45,0.04,1.17,2.01,4.42,0.68,0.56
Jugador_91,ED,2555,0.15,0.41,0.54,1.81,4.93,0.16,1.48
Jugador_92,MC,1454,0.06,0.07,1.84,1.57,4.21,2.0,0.97
Jugador_94,ED,2499,0.37,0.17,1.38,1.62,5.49,3.29,0.81
Jugador_95,MC,2401,0.16,0.13,1.67,1.04,1.22,1.85,0.49
Jugador_96,ED,1996,0.06,0.27,0.25,1.22,5.42,2.77,0.97
Jugador_97,DC,927,0.54,0.09,0.38,0.46,4.51,3.31,1.42
Jugador_99,MOC,1948,0.38,0.04,1.77,1.79,5.2,2.8,2.18
Jugador_100,MC,1743,0.22,0.18,1.95,0.87,3.4,3.5,1.21
Jugador_101,EI,1745,0.31,0.07,0.55,1.71,3.61,1.26,1.11
Jugador_104,MOC,1796,0.11,0.14,0.97,0.65,2.82,1.33,0.61
Jugador_106,DC,2500,0.12,0.34,1.98,1.48,3.79,1.31,1.49
Jugador_107,ED,2184,0.21,0.05,1.66,1.25,3.45,2.56,0.74
Jugador_108,EI,2219,0.08,0.02,1.53,1.06,5.13,0.89,0.62
Jugador_109,ED,1177,0.7,0.09,1.65,1.31,3.52,1.95,1.11
Jugador_111,MC,1256,0.13,0.18,1.44,1.94,5.47,2.95,0.84
Jugador_112,ED,2004,0.14,0.35,1.53,1.96,2.0,1.97,1.0
Jugador_114,ED,1903,0.23,0.58,1.3,1.11,1.81,4.39,0.82
Jugador_116,DC,1600,0.08,0.17,1.2,1.46,7.04,0.03,0.17
Jugador_117,MOC,1115,0.29,0.06,1.25,1.46,5.31,3.39,0.38
Jugador_118,ED,1827,0.32,0.3,1.44,1.85,0.76,0.21,1.3
Jugador_119,MC,2219,0.25,0.37,1.81,2.26,5.6,3.98,0.35
Jugador_120,MOC,1715,0.55,0.0,2.22,1.1,7.37,3.58,1.12
Jugador_121,MOC,1458,0.18,0.81,1.56,2.28,3.55,4.27,0.93
Jugador_122,EI,1518,0.32,0.16,0.6,1.79,3.95,2.76,0.82
Jugador_124,ED,939,0.7,0.31,2.97,1.95,4.47,2.05,1.45
Jugador_126,EI,1254,0.13,0.15,0.47,0.97,5.05,3.48,1.15
Jugador_128,EI,1345,0.32,0.05,1.5,1.74,4.05,2.62,0.66
Jugador_129,DC,1993,0.2,0.25,1.45,2.38,1.55,1.78,0.4
Jugador_130,DC,2385,0.2,0.21,2.07,0.99,4.26,5.13,0.98
Jugador_131,ED,2577,0.16,0.4,2.33,1.02,0.38,3.41,0.51
Jugador_133,EI,2785,0.55,0.31,1.42,1.49,6.44,1.98,1.4
Jugador_134,DC,2099,0.37,0.08,2.18,1.39,4.49,3.43,1.43
Jugador_135,ED,2374,0.26,0.09,0.6,0.92,4.27,1.7,0.57
Jugador_137,EI,1097,0.3,0.1,1.14,0.54,3.59,3.45,1.5
Jugador_138,MOC,2631,0.17,0.21,1.48,1.8,5.89,0.0,1.1
Jugador_139,MOC,1259,0.2,0.16,1.8,0.96,4.19,2.39,0.4
Jugador_140,DC,1804,0.37,0.05,1.38,2.75,4.57,2.43,0.88
Jugador_142,DC,1115,0.64,0.03,2.08,0.82,3.28,2.8,1.12
Jugador_143,EI,958,0.06,0.06,1.36,0.99,1.9,3.16,1.27
Jugador_145,EI,1515,0.36,0.04,1.83,1.44,4.59,2.13,0.57
Jugador_147,EI,1543,0.71,0.3,1.53,1.77,7.07,2.55,1.17
Jugador_148,ED,2505,0.12,0.22,2.12,1.06,4.42,2.27,1.41
Jugador_149,MOC,1369,0.5,0.06,1.59,1.89,4.09,1.19,1.55
Jugador_150,EI,2446,0.21,0.14,2.02,1.58,5.15,0.94,0.57
